x_m,y_m,psi_rad,vx_mps,ax_mps2,ay_mps2
-2.436968130080142458e+01,-1.944109932456922607e+01,-1.484808803664327659e+00,7.994461474565863313e+00,-1.567251239738070012e-01,1.323475231760875781e+00
-2.435014554519568009e+01,-1.967435664790400551e+01,-1.491069415686530064e+00,7.908216197155573113e+00,-1.876039871048327257e-01,1.480248881590609633e+00
-2.433254812621076013e+01,-1.990586665579890990e+01,-1.499818090576474194e+00,7.806857487461030587e+00,-2.169056587834932159e-01,1.568189660633882099e+00
-2.431730171856407452e+01,-2.013631027055781786e+01,-1.509917329139708997e+00,7.691310538372079897e+00,-2.441090773997016683e-01,1.567636274780588090e+00
-2.430444790763493756e+01,-2.036687119883849562e+01,-1.519642788653621457e+00,7.562748410061328919e+00,-2.687493950320831715e-01,1.487406534511479528e+00
-2.429362040187330507e+01,-2.059885222630878943e+01,-1.527253612214324097e+00,7.422561143339996725e+00,-2.904279402274729804e-01,1.360990984457844943e+00
-2.428412587654368338e+01,-2.083329104326917758e+01,-1.531589735327439694e+00,7.272320469833855938e+00,-3.088199766538055613e-01,1.232896172214848818e+00
-2.427511031124501528e+01,-2.107072709886937645e+01,-1.532352968448087882e+00,7.113741166686191164e+00,-3.236805220196341537e-01,1.142227231124307574e+00
-2.426574525176917163e+01,-2.131117772679702682e+01,-1.529984586617697317e+00,6.948639947814221784e+00,-3.348485293189469303e-01,1.111589565997457729e+00
-2.425536539714730111e+01,-2.155426321937142831e+01,-1.525309659685659236e+00,6.778892637367244234e+00,-3.422496280171056782e-01,1.145538565211945192e+00
-2.424352300089089240e+01,-2.179938501821251862e+01,-1.519168507419319525e+00,6.606390319797116106e+00,-3.458973572736523394e-01,1.236900540129689752e+00
-2.422996377175989124e+01,-2.204584029771497811e+01,-1.512155715733487726e+00,6.432995280093591894e+00,-3.458925415905218514e-01,1.375338128150042971e+00
-2.421455259441900765e+01,-2.229285176901936438e+01,-1.504491794629311041e+00,6.260497778206594255e+00,-3.424205086991269908e-01,1.552707747990162979e+00
-2.419718007660624792e+01,-2.253955675686028570e+01,-1.495986822171474495e+00,6.090574771394464904e+00,-3.357462135280675497e-01,1.763104223408991533e+00
-2.417766349058041087e+01,-2.278503872012123566e+01,-1.486054164546128709e+00,5.924751564678526705e+00,-3.262073193201366905e-01,1.999059987457295851e+00
-2.415565076427441227e+01,-2.302844980651088491e+01,-1.473776688387736122e+00,5.764367452074328213e+00,-3.142048639043846237e-01,2.247270738052809858e+00
-2.413054469977494421e+01,-2.326917635083040992e+01,-1.458064312028394260e+00,5.610546700774142082e+00,-3.001911563915085068e-01,2.486740240318337403e+00
-2.410147906530209383e+01,-2.350694763119875574e+01,-1.437950021507308440e+00,5.464176295682819706e+00,-2.846550268817669149e-01,2.690579317332910225e+00
-2.406738410971192010e+01,-2.374181724496131096e+01,-1.412997493925311154e+00,5.325891673892375167e+00,-2.681048967245747150e-01,2.830915910526827339e+00
